07/31 11:21:48 PM | Logger is set 
07/31 11:21:48 PM | Logger without distribution
07/31 11:22:35 PM | Initializing dataset used 47.49959325790405 basic time unit
07/31 11:22:35 PM | The training classes labels length :  751
07/31 11:24:20 PM | batch loading time example is 104.35815286636353
07/31 11:28:40 PM | Logger is set 
07/31 11:28:40 PM | Logger without distribution
07/31 11:30:10 PM | Initializing dataset used 89.51889157295227 basic time unit
07/31 11:30:10 PM | The training classes labels length :  751
07/31 11:32:14 PM | batch loading time example is 123.99688911437988
07/31 11:37:23 PM | Logger is set 
07/31 11:37:23 PM | Logger without distribution
07/31 11:37:49 PM | Initializing dataset used 25.584590196609497 basic time unit
07/31 11:37:49 PM | The training classes labels length :  751
07/31 11:39:02 PM | batch loading time example is 72.71265172958374
08/01 10:30:11 AM | Logger is set 
08/01 10:30:11 AM | Logger without distribution
08/01 10:31:00 AM | Initializing dataset used 48.668407917022705 basic time unit
08/01 10:31:00 AM | The training classes labels length :  751
08/01 10:33:15 AM | batch loading time example is 135.1431863307953
08/01 10:54:42 AM | Logger is set 
08/01 10:54:42 AM | Logger without distribution
08/01 10:55:22 AM | Initializing dataset used 40.3300678730011 basic time unit
08/01 10:55:22 AM | The training classes labels length :  751
08/01 10:56:55 AM | batch loading time example is 92.66081166267395
08/01 10:59:05 AM | Train: [ 1/200] Step 010/380 Loss 42.015 Prec@(1,5) (0.0%, 0.9%)
08/01 10:59:14 AM | Train: [ 1/200] Step 020/380 Loss 42.984 Prec@(1,5) (0.0%, 0.8%)
08/01 10:59:22 AM | Train: [ 1/200] Step 030/380 Loss 44.010 Prec@(1,5) (0.1%, 1.0%)
08/01 10:59:29 AM | Train: [ 1/200] Step 040/380 Loss 44.497 Prec@(1,5) (0.4%, 1.5%)
08/01 10:59:36 AM | Train: [ 1/200] Step 050/380 Loss 44.896 Prec@(1,5) (0.3%, 1.5%)
08/01 10:59:44 AM | Train: [ 1/200] Step 060/380 Loss 44.967 Prec@(1,5) (0.3%, 1.6%)
08/01 10:59:51 AM | Train: [ 1/200] Step 070/380 Loss 44.696 Prec@(1,5) (0.3%, 2.1%)
08/01 10:59:59 AM | Train: [ 1/200] Step 080/380 Loss 44.466 Prec@(1,5) (0.5%, 2.4%)
08/01 11:00:06 AM | Train: [ 1/200] Step 090/380 Loss 44.104 Prec@(1,5) (0.6%, 2.5%)
08/01 11:00:16 AM | Train: [ 1/200] Step 100/380 Loss 43.668 Prec@(1,5) (0.7%, 2.8%)
