07/31 06:24:57 PM | Logger is set 
07/31 06:24:57 PM | Logger without distribution
07/31 06:25:15 PM | Initializing dataset used 17.998492002487183 basic time unit
07/31 06:25:15 PM | The training classes labels length :  751
07/31 06:26:30 PM | batch loading time example is 74.56066799163818
07/31 06:28:45 PM | Train: [ 1/200] Step 010/380 Loss 9.235 Prec@(1,5) (0.3%, 1.6%)
07/31 06:28:50 PM | Train: [ 1/200] Step 020/380 Loss 9.664 Prec@(1,5) (0.2%, 1.2%)
07/31 06:28:55 PM | Train: [ 1/200] Step 030/380 Loss 10.050 Prec@(1,5) (0.1%, 1.0%)
07/31 06:29:01 PM | Train: [ 1/200] Step 040/380 Loss 10.104 Prec@(1,5) (0.2%, 1.2%)
07/31 06:29:07 PM | Train: [ 1/200] Step 050/380 Loss 9.901 Prec@(1,5) (0.3%, 1.4%)
07/31 06:29:13 PM | Train: [ 1/200] Step 060/380 Loss 9.865 Prec@(1,5) (0.4%, 1.5%)
07/31 06:29:18 PM | Train: [ 1/200] Step 070/380 Loss 9.627 Prec@(1,5) (0.4%, 1.4%)
07/31 06:29:24 PM | Train: [ 1/200] Step 080/380 Loss 9.340 Prec@(1,5) (0.4%, 1.4%)
07/31 06:29:28 PM | Train: [ 1/200] Step 090/380 Loss 9.101 Prec@(1,5) (0.4%, 1.5%)
07/31 06:29:32 PM | Train: [ 1/200] Step 100/380 Loss 8.872 Prec@(1,5) (0.5%, 1.7%)
07/31 06:29:36 PM | Train: [ 1/200] Step 110/380 Loss 8.684 Prec@(1,5) (0.5%, 1.8%)
07/31 06:29:40 PM | Train: [ 1/200] Step 120/380 Loss 8.514 Prec@(1,5) (0.4%, 2.0%)
07/31 06:29:44 PM | Train: [ 1/200] Step 130/380 Loss 8.365 Prec@(1,5) (0.4%, 2.0%)
07/31 06:29:49 PM | Train: [ 1/200] Step 140/380 Loss 8.238 Prec@(1,5) (0.4%, 2.0%)
07/31 06:29:54 PM | Train: [ 1/200] Step 150/380 Loss 8.125 Prec@(1,5) (0.4%, 2.0%)
07/31 06:29:59 PM | Train: [ 1/200] Step 160/380 Loss 8.024 Prec@(1,5) (0.4%, 2.0%)
07/31 06:30:05 PM | Train: [ 1/200] Step 170/380 Loss 7.935 Prec@(1,5) (0.5%, 2.1%)
07/31 06:30:10 PM | Train: [ 1/200] Step 180/380 Loss 7.858 Prec@(1,5) (0.5%, 2.2%)
07/31 06:30:20 PM | Train: [ 1/200] Step 190/380 Loss 7.785 Prec@(1,5) (0.5%, 2.2%)
07/31 06:30:25 PM | Train: [ 1/200] Step 200/380 Loss 7.722 Prec@(1,5) (0.5%, 2.2%)
07/31 06:30:30 PM | Train: [ 1/200] Step 210/380 Loss 7.661 Prec@(1,5) (0.5%, 2.3%)
07/31 06:30:35 PM | Train: [ 1/200] Step 220/380 Loss 7.609 Prec@(1,5) (0.5%, 2.3%)
07/31 06:30:41 PM | Train: [ 1/200] Step 230/380 Loss 7.562 Prec@(1,5) (0.5%, 2.3%)
07/31 06:30:45 PM | Train: [ 1/200] Step 240/380 Loss 7.514 Prec@(1,5) (0.5%, 2.3%)
07/31 06:30:50 PM | Train: [ 1/200] Step 250/380 Loss 7.471 Prec@(1,5) (0.5%, 2.3%)
07/31 06:30:58 PM | Train: [ 1/200] Step 260/380 Loss 7.433 Prec@(1,5) (0.5%, 2.4%)
07/31 06:31:06 PM | Train: [ 1/200] Step 270/380 Loss 7.395 Prec@(1,5) (0.5%, 2.3%)
07/31 06:31:12 PM | Train: [ 1/200] Step 280/380 Loss 7.358 Prec@(1,5) (0.5%, 2.4%)
07/31 06:31:17 PM | Train: [ 1/200] Step 290/380 Loss 7.325 Prec@(1,5) (0.5%, 2.4%)
07/31 06:31:23 PM | Train: [ 1/200] Step 300/380 Loss 7.292 Prec@(1,5) (0.5%, 2.4%)
07/31 06:31:28 PM | Train: [ 1/200] Step 310/380 Loss 7.262 Prec@(1,5) (0.5%, 2.4%)
07/31 06:31:33 PM | Train: [ 1/200] Step 320/380 Loss 7.233 Prec@(1,5) (0.5%, 2.5%)
07/31 06:31:39 PM | Train: [ 1/200] Step 330/380 Loss 7.204 Prec@(1,5) (0.5%, 2.5%)
07/31 06:31:46 PM | Train: [ 1/200] Step 340/380 Loss 7.178 Prec@(1,5) (0.5%, 2.6%)
07/31 06:31:53 PM | Train: [ 1/200] Step 350/380 Loss 7.155 Prec@(1,5) (0.5%, 2.6%)
07/31 06:31:59 PM | Train: [ 1/200] Step 360/380 Loss 7.131 Prec@(1,5) (0.6%, 2.7%)
07/31 06:32:06 PM | Train: [ 1/200] Step 370/380 Loss 7.110 Prec@(1,5) (0.6%, 2.7%)
07/31 06:32:13 PM | Train: [ 1/200] Step 380/380 Loss 7.091 Prec@(1,5) (0.6%, 2.7%)
07/31 06:32:16 PM | Train: [ 1/200] Final Prec@1 0.5510%
07/31 06:39:28 PM | Logger is set 
07/31 06:39:28 PM | Logger without distribution
07/31 06:40:03 PM | Initializing dataset used 35.240187883377075 basic time unit
07/31 06:40:03 PM | The training classes labels length :  751
07/31 06:41:16 PM | batch loading time example is 72.70326161384583
07/31 06:42:44 PM | Train: [ 1/200] Step 010/380 Loss 9.067 Prec@(1,5) (0.6%, 1.2%)
07/31 06:42:50 PM | Train: [ 1/200] Step 020/380 Loss 9.609 Prec@(1,5) (0.3%, 1.2%)
07/31 06:42:56 PM | Train: [ 1/200] Step 030/380 Loss 9.888 Prec@(1,5) (0.3%, 1.1%)
07/31 06:43:02 PM | Train: [ 1/200] Step 040/380 Loss 9.956 Prec@(1,5) (0.2%, 1.1%)
07/31 06:43:09 PM | Train: [ 1/200] Step 050/380 Loss 9.955 Prec@(1,5) (0.2%, 1.3%)
07/31 06:43:16 PM | Train: [ 1/200] Step 060/380 Loss 9.906 Prec@(1,5) (0.3%, 1.3%)
07/31 06:43:23 PM | Train: [ 1/200] Step 070/380 Loss 9.655 Prec@(1,5) (0.3%, 1.6%)
07/31 06:43:29 PM | Train: [ 1/200] Step 080/380 Loss 9.458 Prec@(1,5) (0.3%, 1.5%)
07/31 06:43:36 PM | Train: [ 1/200] Step 090/380 Loss 9.235 Prec@(1,5) (0.3%, 1.7%)
07/31 06:43:42 PM | Train: [ 1/200] Step 100/380 Loss 9.063 Prec@(1,5) (0.3%, 1.8%)
07/31 06:43:49 PM | Train: [ 1/200] Step 110/380 Loss 8.886 Prec@(1,5) (0.3%, 2.0%)
07/31 06:43:55 PM | Train: [ 1/200] Step 120/380 Loss 8.718 Prec@(1,5) (0.3%, 2.1%)
07/31 06:44:01 PM | Train: [ 1/200] Step 130/380 Loss 8.603 Prec@(1,5) (0.3%, 2.0%)
07/31 06:44:08 PM | Train: [ 1/200] Step 140/380 Loss 8.488 Prec@(1,5) (0.3%, 2.1%)
07/31 06:44:15 PM | Train: [ 1/200] Step 150/380 Loss 8.383 Prec@(1,5) (0.3%, 2.0%)
07/31 06:44:22 PM | Train: [ 1/200] Step 160/380 Loss 8.285 Prec@(1,5) (0.3%, 2.1%)
07/31 06:44:29 PM | Train: [ 1/200] Step 170/380 Loss 8.192 Prec@(1,5) (0.3%, 2.1%)
07/31 06:44:36 PM | Train: [ 1/200] Step 180/380 Loss 8.104 Prec@(1,5) (0.3%, 2.2%)
07/31 06:44:43 PM | Train: [ 1/200] Step 190/380 Loss 8.026 Prec@(1,5) (0.4%, 2.2%)
07/31 06:44:50 PM | Train: [ 1/200] Step 200/380 Loss 7.960 Prec@(1,5) (0.4%, 2.2%)
07/31 06:44:56 PM | Train: [ 1/200] Step 210/380 Loss 7.890 Prec@(1,5) (0.5%, 2.3%)
07/31 06:45:03 PM | Train: [ 1/200] Step 220/380 Loss 7.827 Prec@(1,5) (0.5%, 2.3%)
07/31 06:45:10 PM | Train: [ 1/200] Step 230/380 Loss 7.772 Prec@(1,5) (0.5%, 2.4%)
07/31 06:45:17 PM | Train: [ 1/200] Step 240/380 Loss 7.713 Prec@(1,5) (0.6%, 2.5%)
07/31 06:45:23 PM | Train: [ 1/200] Step 250/380 Loss 7.661 Prec@(1,5) (0.6%, 2.5%)
07/31 06:45:29 PM | Train: [ 1/200] Step 260/380 Loss 7.611 Prec@(1,5) (0.6%, 2.6%)
07/31 06:45:36 PM | Train: [ 1/200] Step 270/380 Loss 7.565 Prec@(1,5) (0.6%, 2.6%)
