07/31 06:27:22 PM | Logger is set 
07/31 06:27:22 PM | Logger without distribution
07/31 06:27:50 PM | Initializing dataset used 28.290584325790405 basic time unit
07/31 06:27:50 PM | The training classes labels length :  751
07/31 06:29:27 PM | batch loading time example is 96.51576638221741
07/31 06:31:37 PM | Train: [ 1/200] Step 010/404 Loss 8.525 Prec@(1,5) (0.6%, 1.2%)
07/31 06:31:44 PM | Train: [ 1/200] Step 020/404 Loss 9.673 Prec@(1,5) (0.5%, 1.2%)
07/31 06:31:50 PM | Train: [ 1/200] Step 030/404 Loss 9.836 Prec@(1,5) (0.4%, 1.2%)
07/31 06:31:57 PM | Train: [ 1/200] Step 040/404 Loss 9.982 Prec@(1,5) (0.3%, 1.1%)
07/31 06:32:03 PM | Train: [ 1/200] Step 050/404 Loss 9.855 Prec@(1,5) (0.3%, 1.1%)
07/31 06:32:11 PM | Train: [ 1/200] Step 060/404 Loss 9.696 Prec@(1,5) (0.3%, 1.1%)
07/31 06:32:16 PM | Train: [ 1/200] Step 070/404 Loss 9.502 Prec@(1,5) (0.3%, 1.3%)
07/31 06:32:20 PM | Train: [ 1/200] Step 080/404 Loss 9.309 Prec@(1,5) (0.4%, 1.6%)
07/31 06:32:26 PM | Train: [ 1/200] Step 090/404 Loss 9.064 Prec@(1,5) (0.4%, 1.7%)
07/31 06:32:31 PM | Train: [ 1/200] Step 100/404 Loss 8.854 Prec@(1,5) (0.3%, 1.7%)
07/31 06:32:35 PM | Train: [ 1/200] Step 110/404 Loss 8.665 Prec@(1,5) (0.3%, 1.8%)
07/31 06:32:42 PM | Train: [ 1/200] Step 120/404 Loss 8.502 Prec@(1,5) (0.3%, 1.8%)
07/31 06:32:50 PM | Train: [ 1/200] Step 130/404 Loss 8.353 Prec@(1,5) (0.3%, 1.8%)
07/31 06:32:58 PM | Train: [ 1/200] Step 140/404 Loss 8.224 Prec@(1,5) (0.4%, 1.8%)
07/31 06:33:05 PM | Train: [ 1/200] Step 150/404 Loss 8.111 Prec@(1,5) (0.3%, 1.8%)
07/31 06:33:14 PM | Train: [ 1/200] Step 160/404 Loss 8.009 Prec@(1,5) (0.4%, 2.0%)
07/31 06:33:20 PM | Train: [ 1/200] Step 170/404 Loss 7.926 Prec@(1,5) (0.4%, 2.0%)
07/31 06:33:25 PM | Train: [ 1/200] Step 180/404 Loss 7.837 Prec@(1,5) (0.4%, 2.1%)
07/31 06:33:30 PM | Train: [ 1/200] Step 190/404 Loss 7.761 Prec@(1,5) (0.4%, 2.1%)
07/31 06:33:34 PM | Train: [ 1/200] Step 200/404 Loss 7.693 Prec@(1,5) (0.4%, 2.2%)
07/31 06:33:40 PM | Train: [ 1/200] Step 210/404 Loss 7.631 Prec@(1,5) (0.4%, 2.2%)
07/31 06:33:44 PM | Train: [ 1/200] Step 220/404 Loss 7.572 Prec@(1,5) (0.5%, 2.3%)
07/31 06:33:52 PM | Train: [ 1/200] Step 230/404 Loss 7.518 Prec@(1,5) (0.5%, 2.4%)
07/31 06:33:57 PM | Train: [ 1/200] Step 240/404 Loss 7.464 Prec@(1,5) (0.5%, 2.4%)
07/31 06:34:02 PM | Train: [ 1/200] Step 250/404 Loss 7.419 Prec@(1,5) (0.5%, 2.6%)
07/31 06:34:06 PM | Train: [ 1/200] Step 260/404 Loss 7.370 Prec@(1,5) (0.5%, 2.7%)
07/31 06:34:10 PM | Train: [ 1/200] Step 270/404 Loss 7.330 Prec@(1,5) (0.5%, 2.7%)
07/31 06:34:14 PM | Train: [ 1/200] Step 280/404 Loss 7.287 Prec@(1,5) (0.5%, 2.8%)
07/31 06:34:18 PM | Train: [ 1/200] Step 290/404 Loss 7.245 Prec@(1,5) (0.5%, 2.8%)
07/31 06:34:22 PM | Train: [ 1/200] Step 300/404 Loss 7.206 Prec@(1,5) (0.5%, 2.9%)
07/31 06:34:26 PM | Train: [ 1/200] Step 310/404 Loss 7.168 Prec@(1,5) (0.5%, 3.0%)
07/31 06:34:29 PM | Train: [ 1/200] Step 320/404 Loss 7.135 Prec@(1,5) (0.5%, 3.0%)
07/31 06:34:33 PM | Train: [ 1/200] Step 330/404 Loss 7.102 Prec@(1,5) (0.5%, 3.1%)
07/31 06:34:36 PM | Train: [ 1/200] Step 340/404 Loss 7.073 Prec@(1,5) (0.5%, 3.1%)
07/31 06:34:40 PM | Train: [ 1/200] Step 350/404 Loss 7.042 Prec@(1,5) (0.5%, 3.2%)
07/31 06:34:44 PM | Train: [ 1/200] Step 360/404 Loss 7.012 Prec@(1,5) (0.6%, 3.3%)
07/31 06:34:48 PM | Train: [ 1/200] Step 370/404 Loss 6.985 Prec@(1,5) (0.6%, 3.4%)
07/31 06:34:51 PM | Train: [ 1/200] Step 380/404 Loss 6.957 Prec@(1,5) (0.7%, 3.5%)
07/31 06:34:55 PM | Train: [ 1/200] Step 390/404 Loss 6.932 Prec@(1,5) (0.7%, 3.5%)
07/31 06:34:59 PM | Train: [ 1/200] Step 400/404 Loss 6.905 Prec@(1,5) (0.7%, 3.6%)
07/31 06:35:00 PM | Train: [ 1/200] Step 404/404 Loss 6.895 Prec@(1,5) (0.7%, 3.6%)
07/31 06:35:02 PM | Train: [ 1/200] Final Prec@1 0.7348%
07/31 06:39:28 PM | Logger is set 
07/31 06:39:28 PM | Logger without distribution
07/31 06:40:03 PM | Initializing dataset used 35.24036955833435 basic time unit
07/31 06:40:03 PM | The training classes labels length :  751
07/31 06:41:16 PM | batch loading time example is 72.7070369720459
07/31 06:42:44 PM | Train: [ 1/200] Step 010/404 Loss 8.601 Prec@(1,5) (0.6%, 0.9%)
07/31 06:42:51 PM | Train: [ 1/200] Step 020/404 Loss 9.603 Prec@(1,5) (0.3%, 0.8%)
07/31 06:42:57 PM | Train: [ 1/200] Step 030/404 Loss 9.934 Prec@(1,5) (0.3%, 1.0%)
